time	a	b
227	5642	5890
59	6263	6517
138	6263	6517
107	6890	7176
146	6890	7176
153	7578	7826
74	7578	7826
104	8195	8444
116	8195	8444
83	8806	9055
145	8806	9055
51	9429	9684
172	9429	9684
87	10045	10295
125	10045	10295
65	10689	10937
149	10689	10937
64	11309	11557
103	11309	11557
56	11913	12097
74	11913	12097
130	12462	12712
85	12462	12712
123	13073	13323
85	13073	13323
159	13687	13937
60	13687	13937
125	14335	14586
96	14335	14586
62	14940	15196
163	14940	15196
108	15555	15804
101	15555	15804
154	16158	16407
73	16158	16407
189	16770	17020
39	16770	17020
91	17414	17669
125	17414	17669
31	18025	18275
105	18025	18275
92	18629	18878
21	18629	18878
98	275	524
20	275	524
108	896	1176
38	896	1176
66	1544	1794
86	1544	1794
152	2179	2434
35	2179	2434
197	2820	3068
10	2820	3068
110	3434	3684
105	3434	3684
92	4039	4288
57	4039	4288
82	4636	4885
96	4636	4885
79	5431	5680
48	5431	5680
121	6052	6302
42	6052	6302
81	6674	6923
94	6674	6923
180	7318	7567
17	7318	7567
47	7939	8188
143	7939	8188
118	8559	8809
51	8559	8809
169	9186	9437
24	9186	9437
146	9802	10053
37	9802	10053
107	10414	10664
24	10414	10664
131	11074	11324
42	11074	11324
123	11679	11929
50	11679	11929
85	12346	12595
66	12346	12595
95	12972	13222
80	12972	13222
76	13590	13838
52	13590	13838
137	14245	14494
21	14245	14494
189	14860	15111
0	14860	15111
179	15473	15723
12	15473	15723
78	16078	16328
98	16078	16328
73	16693	16942
73	16693	16942
23	17302	17497
115	17302	17497
144	17869	18119
54	17869	18119
25	18463	18712
138	18463	18712
142	354	604
36	354	604
138	974	1249
56	974	1249
85	1622	1870
75	1622	1870
23	2238	2489
132	2238	2489
129	2831	3087
25	2831	3087
108	3472	3722
18	3472	3722
147	4160	4409
23	4160	4409
103	4776	5026
100	4776	5026
84	5447	5697
70	5447	5697
164	6030	6284
29	6030	6284
27	6653	6902
135	6653	6902
58	7298	7548
141	7298	7548
70	7945	8195
81	7945	8195
26	8601	8851
142	8601	8851
28	9233	9349
34	9233	9349
58	9728	9977
109	9728	9977
61	10346	10596
129	10346	10596
161	10968	11217
21	10968	11217
43	11754	12005
86	11754	12005
121	12368	12620
61	12368	12620
47	12973	13223
83	12973	13223
11	13611	13866
177	13611	13866
137	14246	14496
51	14246	14496
103	14856	15105
62	14856	15105
86	15481	15731
105	15481	15731
187	16100	16349
14	16100	16349
153	16744	16994
23	16744	16994
89	17456	17706
102	17456	17706
209	18069	18318
2	18069	18318
83	18707	18956
76	18707	18956
93	268	518
70	268	518
96	899	1149
46	899	1149
84	1525	1775
84	1525	1775
166	2118	2368
15	2118	2368
138	2735	2984
48	2735	2984
37	3378	3627
106	3378	3627
65	3982	4231
93	3982	4231
128	4582	4831
58	4582	4831
86	5284	5533
61	5284	5533
122	5895	6144
65	5895	6144
22	6507	6757
138	6507	6757
56	7212	7462
57	7212	7462
94	7849	8100
48	7849	8100
157	8456	8705
33	8456	8705
148	9089	9339
30	9089	9339
70	9767	10022
49	9767	10022
94	10425	10681
82	10425	10681
65	11043	11292
132	11043	11292
96	11648	11898
73	11648	11898
87	12329	12578
74	12329	12578
76	12951	13202
66	12951	13202
119	13687	13937
42	13687	13937
52	14334	14519
58	14334	14519
93	14943	15193
63	14943	15193
130	15552	15802
25	15552	15802
2	16193	16442
167	16193	16442
125	16793	17043
29	16793	17043
21	17427	17675
86	17427	17675
32	18073	18322
184	18073	18322
114	18647	18903
45	18647	18903
14	353	604
178	353	604
116	983	1230
35	983	1230
40	1594	1844
65	1594	1844
113	2275	2525
3	2275	2525
67	2889	3139
86	2889	3139
68	3554	3806
61	3554	3806
178	4246	4496
2	4246	4496
65	4857	5105
52	4857	5105
69	5478	5672
105	5478	5672
63	6075	6323
163	6075	6323
17	6702	6953
100	6702	6953
97	7330	7584
0	7330	7584
32	7951	8200
68	7951	8200
66	8569	8820
83	8569	8820
0	9227	9476
73	9227	9476
0	9860	10110
39	9860	10110
0	10628	10879
0	10628	10879
0	12531	12779
0	12531	12779
8	13692	13943
93	13692	13943
12	14343	14592
72	14343	14592
15	15104	15353
68	15104	15353
23	15719	15969
84	15719	15969
105	16493	16778
56	16493	16778
24	17397	17653
31	17397	17653
0	18057	18306
100	18057	18306
3	19009	19259
27	19009	19259
27	19685	19935
87	19685	19935
20	20390	20641
93	20390	20641
20	21030	21278
118	21030	21278
0	21653	21903
93	21653	21903
238	298	547
0	298	547
0	915	1166
245	915	1166
0	1609	1859
233	1609	1859
211	2229	2479
19	2229	2479
0	2872	3121
237	2872	3121
59	3485	3734
171	3485	3734
7	4183	4431
179	4183	4431
53	4849	5099
102	4849	5099
0	5456	5706
0	5456	5706
18	6647	6897
194	6647	6897
28	7267	7518
116	7267	7518
52	7920	8169
134	7920	8169
15	8615	8869
22	8615	8869
0	9277	9526
81	9277	9526
55	10745	10993
174	10745	10993
92	11364	11613
139	11364	11613
5	12133	12384
190	12133	12384
6	12786	13034
139	12786	13034
0	13430	13681
237	13430	13681
0	14093	14343
0	14093	14343
45	15963	16215
188	15963	16215
18	16667	16782
85	16667	16782
6	17194	17446
88	17194	17446
0	18099	18354
0	18099	18354
22	19093	19342
108	19093	19342
30	19711	19960
105	19711	19960
36	20326	20575
177	20326	20575
19	20942	21192
31	20942	21192
7	21556	21805
44	21556	21805
0	22243	22493
0	22243	22493
71	542	793
166	542	793
80	1184	1434
134	1184	1434
148	1833	2083
84	1833	2083
146	2473	2724
91	2473	2724
156	3124	3373
67	3124	3373
161	3764	4012
68	3764	4012
157	4423	4673
63	4423	4673
166	5042	5294
62	5042	5294
166	5678	5929
61	5678	5929
212	6343	6595
16	6343	6595
97	6975	7223
127	6975	7223
115	7613	7864
110	7613	7864
137	8242	8491
97	8242	8491
166	8877	9126
60	8877	9126
192	9528	9778
45	9528	9778
114	10140	10390
103	10140	10390
99	10766	11014
117	10766	11014
195	11382	11632
19	11382	11632
109	12206	12392
29	12206	12392
90	12792	13042
115	12792	13042
155	13414	13662
68	13414	13662
117	14022	14271
110	14022	14271
71	14723	14975
162	14723	14975
81	15372	15621
136	15372	15621
129	16017	16267
96	16017	16267
36	16633	16883
183	16633	16883
194	17250	17501
6	17250	17501
66	17874	18123
11	17874	18123
0	18529	18778
0	18529	18778
0	19400	19650
96	19400	19650
47	341	592
110	341	592
41	1024	1273
98	1024	1273
181	1773	2023
51	1773	2023
207	2402	2650
19	2402	2650
228	3046	3296
11	3046	3296
152	3627	3883
61	3627	3883
121	4314	4564
86	4314	4564
236	4912	5162
6	4912	5162
