time	a	b
236	15771	16021
235	16399	16648
235	16399	16648
245	17021	17270
245	17021	17270
243	17634	17883
243	17634	17883
232	18236	18487
232	18236	18487
232	18848	19097
232	18848	19097
229	19493	19747
229	19493	19747
206	355	603
206	355	603
216	989	1238
216	989	1238
190	1597	1845
190	1597	1845
218	2185	2439
218	2185	2439
242	2797	3048
242	2797	3048
79	3411	3683
79	3411	3683
216	4050	4298
216	4050	4298
226	4666	4916
226	4666	4916
152	5281	5475
152	5281	5475
209	5861	6112
209	5861	6112
212	6465	6716
212	6465	6716
216	7222	7470
216	7222	7470
216	7825	8073
216	7825	8073
220	8433	8683
220	8433	8683
195	9031	9281
195	9031	9281
207	9640	9890
207	9640	9890
212	10258	10509
212	10258	10509
149	10888	11143
149	10888	11143
221	11498	11746
221	11498	11746
201	12101	12350
201	12101	12350
206	12710	12958
206	12710	12958
208	13320	13576
208	13320	13576
48	13983	14234
48	13983	14234
209	14552	14809
209	14552	14809
218	15159	15408
218	15159	15408
113	15765	16016
113	15765	16016
197	16371	16621
197	16371	16621
202	17008	17258
202	17008	17258
218	17629	17878
218	17629	17878
206	18689	18938
206	18689	18938
227	370	619
227	370	619
222	962	1210
222	962	1210
229	1567	1822
229	1567	1822
210	2197	2447
210	2197	2447
63	2802	3051
63	2802	3051
215	3412	3661
215	3412	3661
230	4035	4285
230	4035	4285
225	4653	4908
225	4653	4908
168	5270	5518
168	5270	5518
211	5879	6127
211	5879	6127
220	6487	6737
220	6487	6737
188	7099	7347
188	7099	7347
203	7698	7946
203	7698	7946
223	8301	8549
223	8301	8549
215	8932	9181
215	8932	9181
211	9547	9796
211	9547	9796
209	10178	10426
209	10178	10426
172	10869	11124
172	10869	11124
226	11477	11728
226	11477	11728
171	12071	12319
171	12071	12319
236	12687	12942
236	12687	12942
97	13301	13416
97	13301	13416
226	13854	14103
226	13854	14103
229	14462	14711
229	14462	14711
222	15253	15515
222	15253	15515
225	15935	16183
225	15935	16183
224	16539	16789
224	16539	16789
218	17145	17393
218	17145	17393
147	17754	18005
147	17754	18005
240	18365	18650
240	18365	18650
226	701	952
226	701	952
220	1319	1570
220	1319	1570
218	1953	2201
218	1953	2201
230	2608	2862
230	2608	2862
225	3237	3488
225	3237	3488
230	3823	4073
230	3823	4073
227	4433	4682
227	4433	4682
234	5041	5291
234	5041	5291
227	5642	5890
227	5642	5890
198	6263	6517
198	6263	6517
253	6890	7176
253	6890	7176
227	7578	7826
227	7578	7826
220	8195	8444
220	8195	8444
228	8806	9055
228	8806	9055
223	9429	9684
223	9429	9684
212	10045	10295
212	10045	10295
214	10689	10937
214	10689	10937
167	11309	11557
167	11309	11557
130	11913	12097
130	11913	12097
215	12462	12712
215	12462	12712
208	13073	13323
208	13073	13323
219	13687	13937
219	13687	13937
221	14335	14586
221	14335	14586
225	14940	15196
225	14940	15196
209	15555	15804
209	15555	15804
227	16158	16407
227	16158	16407
228	16770	17020
228	16770	17020
216	17414	17669
216	17414	17669
136	18025	18275
136	18025	18275
113	18629	18878
113	18629	18878
119	275	524
119	275	524
146	896	1176
146	896	1176
152	1544	1794
152	1544	1794
187	2179	2434
187	2179	2434
207	2820	3068
207	2820	3068
215	3434	3684
215	3434	3684
149	4039	4288
149	4039	4288
178	4636	4885
178	4636	4885
127	5431	5680
127	5431	5680
164	6052	6302
164	6052	6302
175	6674	6923
175	6674	6923
197	7318	7567
197	7318	7567
190	7939	8188
190	7939	8188
169	8559	8809
169	8559	8809
193	9186	9437
193	9186	9437
183	9802	10053
183	9802	10053
131	10414	10664
131	10414	10664
173	11074	11324
173	11074	11324
175	11679	11929
175	11679	11929
151	12346	12595
151	12346	12595
176	12972	13222
176	12972	13222
130	13590	13838
130	13590	13838
158	14245	14494
158	14245	14494
189	14860	15111
189	14860	15111
192	15473	15723
192	15473	15723
176	16078	16328
176	16078	16328
146	16693	16942
146	16693	16942
139	17302	17497
139	17302	17497
198	17869	18119
198	17869	18119
164	18463	18712
164	18463	18712
179	354	604
179	354	604
194	974	1249
194	974	1249
160	1622	1870
160	1622	1870
156	2238	2489
156	2238	2489
154	2831	3087
154	2831	3087
127	3472	3722
127	3472	3722
170	4160	4409
170	4160	4409
204	4776	5026
204	4776	5026
154	5447	5697
154	5447	5697
193	6030	6284
193	6030	6284
163	6653	6902
163	6653	6902
199	7298	7548
199	7298	7548
152	7945	8195
152	7945	8195
168	8601	8851
168	8601	8851
62	9233	9349
62	9233	9349
167	9728	9977
167	9728	9977
190	10346	10596
190	10346	10596
182	10968	11217
182	10968	11217
130	11754	12005
130	11754	12005
182	12368	12620
182	12368	12620
130	12973	13223
130	12973	13223
188	13611	13866
188	13611	13866
192	14246	14496
192	14246	14496
185	14856	15105
185	14856	15105
191	15481	15731
191	15481	15731
201	16100	16349
201	16100	16349
176	16744	16994
176	16744	16994
192	17456	17706
192	17456	17706
212	18069	18318
212	18069	18318
163	18707	18956
163	18707	18956
163	268	518
163	268	518
143	899	1149
143	899	1149
169	1525	1775
169	1525	1775
181	2118	2368
181	2118	2368
186	2735	2984
186	2735	2984
143	3378	3627
143	3378	3627
158	3982	4231
158	3982	4231
186	4582	4831
186	4582	4831
147	5284	5533
147	5284	5533
188	5895	6144
188	5895	6144
160	6507	6757
160	6507	6757
113	7212	7462
113	7212	7462
143	7849	8100
143	7849	8100
190	8456	8705
190	8456	8705
178	9089	9339
178	9089	9339
120	9767	10022
120	9767	10022
176	10425	10681
176	10425	10681
198	11043	11292
198	11043	11292
169	11648	11898
169	11648	11898
163	12329	12578
163	12329	12578
143	12951	13202
143	12951	13202
161	13687	13937
161	13687	13937
112	14334	14519
112	14334	14519
156	14943	15193
156	14943	15193
155	15552	15802
155	15552	15802
169	16193	16442
169	16193	16442
154	16793	17043
154	16793	17043
108	17427	17675
108	17427	17675
220	18073	18322
220	18073	18322
159	18647	18903
159	18647	18903
192	353	604
192	353	604
151	983	1230
151	983	1230
105	1594	1844
105	1594	1844
116	2275	2525
116	2275	2525
153	2889	3139
