time	a	b
152	16926	17176
64	16926	17176
55	17599	17849
151	17599	17849
165	18262	18512
72	18262	18512
151	18943	19192
86	18943	19192
61	19625	19875
126	19625	19875
125	20346	20596
107	20346	20596
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
