time	a	b
240	7983	8234
240	7983	8234
239	8688	8939
239	8688	8939
225	9365	9617
225	9365	9617
227	10047	10298
227	10047	10298
238	10730	10980
238	10730	10980
237	18943	19192
237	18943	19192
239	12121	12371
239	12121	12371
188	12810	13012
188	12810	13012
171	13435	13685
171	13435	13685
193	14116	14367
193	14116	14367
217	14810	15060
217	14810	15060
241	15557	15808
241	15557	15808
229	16260	16510
229	16260	16510
217	16926	17176
217	16926	17176
207	17599	17849
207	17599	17849
237	18262	18512
237	18262	18512
237	18943	19192
237	18943	19192
198	19625	19875
198	19625	19875
233	20346	20596
233	20346	20596
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
