ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									910	13:05:14.621																			Unclassified	316						55																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									926	13:05:14.637																			Unclassified	316						56																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									943	13:05:14.654																			Unclassified	316						57																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									960	13:05:14.671																			Unclassified	316						58																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									976	13:05:14.687																			Unclassified	316						59																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									993	13:05:14.704																			Unclassified	316						60																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									1009	13:05:14.720																			Unclassified	316						61																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									1026	13:05:14.737																			Unclassified	316						62																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									1043	13:05:14.754																			Unclassified	17						63	692	302	715	225	703	263	703	263													0.65255	0.85049	0.47997	0.84095	459.03	474.22	4.83	5.17	0	0				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter	8b55933a-b8b6-49ee-a8e5-ac83caf877a5.png	0	0	1280	1024									1059	13:05:14.770																		2	Saccade	33						64	694	301	640	237	667	269	667	269													0.65208	0.84969	0.47949	0.84008	458.89	474.22	4.77	4.91	0	0				
